epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1048,1.41602,4.4207,1.88987,0.0035,1,0.52718,0.15968,1.38385,3.06972,2.21713,3.334e-05,3.334e-05,3.334e-05
2,37.9212,1.39557,4.11489,1.78752,0.00362,1,0.38112,0.10007,1.39592,3.07888,2.25915,7.50984e-05,7.50984e-05,7.50984e-05
3,38.7427,1.38755,4.05975,1.8511,0.00366,1,0.23843,0.1043,1.3126,3.06664,2.11335,0.000106955,0.000106955,0.000106955
4,39.507,1.20672,3.91718,1.6474,0.00364,1,0.49295,0.27922,1.12902,3.06204,1.85776,0.000128909,0.000128909,0.000128909
5,40.2763,0.90127,3.7878,1.4323,0.00366,1,0.58795,0.36757,1.05889,3.02324,1.74125,0.000140962,0.000140962,0.000140962
6,41.056,0.94023,3.71961,1.2536,0.00365,1,0.64792,0.41829,1.04528,3.03018,1.73915,0.000143112,0.000143112,0.000143112
7,41.8065,0.95492,3.76389,1.48324,0.00367,1,0.56661,0.36148,1.05376,3.01232,1.76838,0.00013536,0.00013536,0.00013536
8,42.5269,0.94798,3.39106,1.32743,0.00366,1,0.62504,0.3968,1.03821,3.03263,1.72085,0.000117707,0.000117707,0.000117707
9,43.2855,0.92827,3.33128,1.41191,0.00353,1,0.61392,0.41318,1.06648,3.03795,1.7413,9.01514e-05,9.01514e-05,9.01514e-05
10,44.0173,0.89824,3.28541,1.29619,0.00351,1,0.62342,0.41488,1.06945,3.02086,1.78864,5.26939e-05,5.26939e-05,5.26939e-05
